(318,560),( 347,619),10 
(321,500),( 346,551),10 
(592,610),( 651,637),10 
(328,402),( 388,430),10 
(555,319),( 582,375),10 
(640,316),( 667,368),10 
(815,309),( 846,370),10 
(844,310),( 875,367),10 
(870,308),( 897,363),10 
(895,309),( 919,356),10 
(918,306),( 943,354),10 
(990,232),(1017,277),10 
(848, 74),( 885,117),10 
(820, 68),( 853,110),10 
(412,596),( 463,622),10 
(233,336),( 255,384),10
(310,331),( 332,370),10
(362,326),( 393,379),10
(524,325),( 550,368),10
(587,326),( 607,364),10
(615,326),( 641,370),10
(766,316),( 787,364),10
(793,316),( 815,361),10
(307,71),( 339,123),10
(813,416),( 860,437),10
(992,87),(1013,134),10
(994,170),(1018,219),10
(411,570),( 455,592),10












