(633,581),( 683,621),10 
(814,340),( 868,377),10 
(916,227),( 940,280),10 
(943,206),( 970,258),10 
(975,175),(1002,233),10 
(942, 57),( 985,112),10 
(879,138),( 934,165),10 
(699,308),( 760,334),10 
(642,362),( 700,389),10 
(613,387),( 665,413),10 
(678,103),( 717,153),10 
(655,121),( 696,168),10 
(606,150),( 648,200),10 
(591,169),( 626,215),10 
(565,182),( 606,231),10 
(544,197),( 586,249),10 
(524,221),( 564,266),10 
(498,292),( 543,335),10 
(506,318),( 548,356),10 
(527,338),( 570,378),10 
(558,362),( 585,416),10 
(591,359),( 614,403),10 
(612,327),( 638,382),10 
(501,395),( 548,439),10 
(482,368),( 525,407),10 
(456,349),( 507,397),10 
(438,329),( 487,375),10 
(418,308),( 474,352),10 
(406,285),( 458,323),10 
(398,256),( 445,294),10 
(391,229),( 435,258),10 
(374,199),( 428,232),10 
(352,335),( 410,368),10 
(350,378),( 392,415),10 
(395,409),( 460,463),10 
(442,204),( 484,251),10 
(468,185),( 509,232),10 
(516,157),( 552,201),10 
(536,142),( 572,185),10 
(553,118),( 593,172),10 
(577,109),( 617,157),10 
(598, 87),( 639,141),10 
(547, 50),( 589,102),10 
(505, 92),( 539,135),10 
(479,105),( 515,149),10 
(431,131),( 470,180),10 
(404,143),( 446,197),10 
(126,387),( 154,449),10 
(202,416),(232,459),10 
(465,456),(515,505),10 
(525,445),(577,467),10 
(578,445),(627,466),10 
(605,419),(652,440),10 
(495,658),(539,703),10 
(640,316),(666,356),10 
(673,290),(698,333),10 
(676,338),(730,363),10 
(728,228),(753,273),10 
(730,284),(785,306),10 
(568,38),(608,77),10 
(599,28),(633,68),10 
(625,75),(661,116),10 
(907,111),(958,139),10 
(843,166),(899,191),10 
(790,613),(834,667),10 
(475,253),(521,296),10 
(504,240),(542,279),10 
