(1270,231),(1363,316),3 
(1347,225),(1449,312),3 
(1423,195),(1518,279),3 
(1234,310),(1336,408),3 
(1321,315),(1420,408),3 
(1414,316),(1513,402),3 
(1204,418),(1276,496),3 
(1201,483),(1276,555),3 
(1266,423),(1342,493),3 
(1267,487),(1342,556),3 
(1332,445),(1435,541),3 
(1201,556),(1273,625),3 
(1203,618),(1275,693),3 
(1266,559),(1338,625),3 
(1266,619),(1341,694),3 
(1329,558),(1401,630),3 
(1329,618),(1405,691),3 
(1392,564),(1461,628),3 
(1393,619),(1459,678),3 
(1198,691),(1275,769),3 
(1261,688),(1336,766),3 
(1327,693),(1398,763),3 
(1389,690),(1464,766),3 
(1260,769),(1356,864),3 
(1359,774),(1462,868),3 
( 216,157),( 271,277),2 
( 163,558),( 274,657),2 
( 463,537),( 546,642),2 
( 720, 54),( 789,157),2 
( 957, 60),(1030,141),2 
