(  91,567),( 159,627),3 
(  85,636),( 169,712),3 
(  90,751),( 169,825),3 
(  88,837),( 171,912),3 
( 198,693),( 277,766),3 
( 196,768),( 274,843),3 
( 195,849),( 280,921),3 
( 297,685),( 376,762),3 
( 295,766),( 378,841),3 
( 408,684),( 492,765),3 
( 411,763),( 495,847),3 
( 409,867),( 496,946),3 
( 501,681),( 582,759),3 
( 499,763),( 582,843),3 
( 610,679),( 684,742),3 
( 615,745),( 685,810),3 
( 616,825),( 687,891),3 
( 616,894),( 687,958),3 
( 687,675),( 756,741),3 
( 684,747),( 754,808),3 
( 691,823),( 759,882),3 
( 688,892),( 759,958),3 
( 796,690),( 864,753),3 
( 867,691),( 931,757),3 
( 795,783),( 871,864),3 
( 778,883),( 853,952),3 
( 859,880),( 937,955),3 
( 825,427),( 901,499),3 
( 903,453),( 979,525),3 
( 999,442),(1078,522),3 
(1077,444),(1158,522),3 
( 954,297),(1029,361),3 
(1078,333),(1149,394),3 
(1176,262),(1251,331),3 
(1258,292),(1314,354),3 
(1233,342),(1296,399),3 
(1306,333),(1377,399),3 
(1009,661),(1086,739),3 
( 961,783),(1029,841),3 
( 961,835),(1021,894),3 
( 961,886),(1029,949),3 
(1042,777),(1104,837),3 
(1039,840),(1104,894),3 
(1039,888),(1104,942),3 
(1126,777),(1204,849),3 
(1126,852),(1203,918),3 
(1224,783),(1290,843),3 
(1219,852),(1287,912),3 
(1314,813),(1393,889),3 
(1423,777),(1489,831),3 
(1423,831),(1483,891),3 
(1492,769),(1566,826),3 
(1491,817),(1563,882),3 
(1576,801),(1642,862),3 
(1636,766),(1704,829),3 
( 451,300),( 549,411),2 
( 730, 58),( 843,186),2 
(1030,235),(1098,300),3 
