(318,117),(362,168),2 
(722,395),(764,436),3 
(664,401),(716,449),3 
(615,414),(668,465),3 
(569,432),(618,479),3 
(522,447),(569,495),3 
(476,462),(525,509),3 
(440,478),(468,504),3 
(416,485),(444,511),3 
(392,494),(418,519),3 
(444,504),(475,531),3 
(416,510),(447,540),3 
(391,521),(417,549),3 
(741,444),(792,493),3 
(691,459),(742,506),3 
(642,479),(694,523),3 
(593,493),(642,538),3 
(529,513),(561,541),3 
(503,522),(532,550),3 
(473,530),(504,559),3 
(446,542),(475,568),3 
(542,541),(571,571),3 
(509,550),(539,580),3 
(482,559),(511,588),3 
(453,569),(483,598),3 
(801,490),(830,522),3 
(813,517),(843,549),3 
(773,498),(804,528),3 
(785,526),(817,557),3 
(746,508),(775,538),3 
(759,535),(788,565),3 
(720,517),(750,547),3 
(733,545),(761,575),3 
(680,529),(711,561),3 
(655,540),(683,573),3 
(626,551),(656,580),3 
(637,578),(666,610),3 
(597,556),(629,587),3 
(608,588),(639,618),3 
(569,568),(600,597),3 
(581,596),(610,627),3 
(531,584),(561,612),3 
(541,611),(570,642),3 
(503,594),(534,621),3 
(512,620),(543,653),3 
(474,604),(504,633),3 
(484,634),(512,663),3 
(444,612),(473,643),3 
(455,642),(483,675),3 
