(  43, 88),( 108,151),3 
(  40,181),( 108,250),3 
(  39,252),( 110,320),3 
( 104, 85),( 174,152),3 
( 100,184),( 172,254),3 
( 105,248),( 175,318),3 
( 165, 85),( 235,157),3 
( 170,182),( 236,250),3 
( 166,246),( 238,316),3 
( 229, 87),( 303,158),3 
( 230,183),( 301,249),3 
( 231,248),( 302,314),3 
( 354, 86),( 423,150),3 
( 355,150),( 424,220),3 
( 351,238),( 421,303),3 
( 355,302),( 423,369),3 
( 421, 87),( 492,151),3 
( 420,152),( 492,214),3 
( 420,241),( 494,304),3 
( 420,300),( 488,370),3 
( 526, 90),( 597,152),3 
( 529,150),( 601,213),3 
( 529,253),( 600,315),3 
( 528,314),( 601,382),3 
( 595, 87),( 662,150),3 
( 595,148),( 662,217),3 
( 595,250),( 662,318),3 
( 595,312),( 662,380),3 
( 711, 88),( 783,151),3 
( 711,150),( 783,225),3 
( 711,276),( 783,343),3 
( 711,340),( 783,406),3 
( 777, 88),( 846,153),3 
( 777,152),( 846,219),3 
( 777,270),( 846,338),3 
( 777,334),( 846,411),3 
( 841, 86),( 906,153),3 
( 840,153),( 903,219),3 
( 900, 86),( 963,151),3 
( 900,150),( 963,213),3 
( 900,237),( 963,303),3 
( 900,300),( 963,367),3 
( 900,366),( 963,434),3 
( 962, 86),(1034,148),3 
( 962,150),(1034,213),3 
( 962,237),(1034,303),3 
( 962,300),(1034,367),3 
( 962,366),(1034,434),3 
(1072, 86),(1143,148),3 
(1072,171),(1143,236),3 
(1072,326),(1143,392),3 
(1072,384),(1143,447),3 
(1138, 86),(1207,148),3 
(1138,171),(1207,236),3 
(1138,326),(1207,392),3 
(1138,384),(1207,447),3 
(1203, 86),(1272,148),3 
(1203,171),(1272,236),3 
(1203,326),(1272,392),3 
(1203,384),(1272,447),3 
(1266, 82),(1339,148),3 
(1266,166),(1336,240),3 
(1268,326),(1334,388),3 
