(439,292),( 474,417),2 
(591,409),( 637,486),2 
(772,681),( 833,773),2 
(894, 74),( 972,161),2 
(956,360),(1045,458),2 
(100, 16),( 169, 87),3 
(170, 28),( 235, 97),3 
(240, 40),( 306,107),3 
(310, 49),( 373,119),3 
( 24, 74),(  80,131),3 
( 23,136),(  78,196),3 
( 33,205),(  81,256),3 
( 31,262),(  79,308),3 
(118,171),( 166,224),3 
(166,179),( 213,230),3 
(115,223),( 162,271),3 
(163,230),( 211,278),3 
(113,271),( 159,321),3 
(161,278),( 209,327),3 
(230,189),( 278,237),3 
(279,196),( 325,244),3 
(325,204),( 375,250),3 
(226,235),( 274,289),3 
(273,244),( 322,296),3 
(322,250),( 371,302),3 
(221,287),( 269,338),3 
(271,292),( 318,344),3 
(318,299),( 365,352),3 
(218,414),( 274,473),3 
(286,423),( 339,479),3 
(101, 92),( 165,159),3 
(167,100),( 231,170),3 
(236,110),( 301,176),3 
(304,120),( 367,188),3 
( 24,  9),(  85, 50),3 
