(  83, 84),( 159,144),1 
(  38,177),( 152,266),1 
(  41,290),( 159,380),1 
(  66,414),( 129,480),1 
(  23,486),( 102,543),1 
(  17,567),( 102,626),1 
( 344, 32),( 419, 90),1 
( 324,113),( 408,172),1 
( 335,195),( 423,255),1 
( 314,342),( 392,406),1 
( 290,429),( 383,491),1 
( 336,510),( 425,570),1 
( 233,564),( 290,647),1 
( 348,579),( 426,663),1 
( 744, 90),( 819,144),1 
( 737,168),( 807,222),1 
( 723,245),( 800,296),1 
( 681,312),( 750,383),1 
( 699,398),( 785,459),1 
( 693,537),( 770,599),1 
( 695,624),( 770,692),1 
( 780,633),( 852,687),1 
( 989, 12),(1074, 77),1 
( 954, 99),(1043,156),1 
(1001,165),(1085,222),1 
(1008,246),(1085,320),1 
( 950,357),(1058,417),1 
(1008,437),(1101,494),1 
(1023,519),(1094,578),1 
(1025,620),(1088,699),1 
(1121,225),(1187,312),1 
