(266, 47),(323, 97),3 
(342, 47),(391, 97),3 
(403, 45),(455, 97),3 
(448, 45),(501, 95),3 
(498, 45),(544, 91),3 
(414,138),(466,187),3 
(482,140),(539,187),3 
(340,203),(395,251),3 
(486,201),(540,248),3 
(413,198),(468,252),3 
(275,264),(323,315),3 
(318,265),(367,313),3 
(360,267),(409,314),3 
(433,261),(491,313),3 
(496,262),(552,312),3 
(303,327),(339,361),3 
(302,355),(338,391),3 
(341,328),(379,361),3 
(342,355),(378,389),3 
(382,327),(420,361),3 
(379,353),(419,391),3 
(428,329),(484,383),3 
(491,332),(549,387),3 
(358,403),(420,460),3 
(363,470),(422,525),3 
(432,403),(489,459),3 
(433,470),(490,527),3 
(490,403),(548,455),3 
(495,470),(553,524),3 
(265,428),(319,535),2 
(411,593),(510,621),2 
