(985, 72),(1022,128),10 
(874,270),( 934,310),10 
(912,319),( 967,358),10 
(773,320),( 821,355),10 
(780,379),( 826,414),10 
(732,401),( 777,434),10 
(615,384),( 667,422),10 
(613,450),( 664,487),10 
(556,475),( 608,513),10 
(286,597),( 339,633),10 
(290,532),( 338,569),10 
(195,484),( 234,540),10 
(159,381),( 191,437),10 
(148,253),( 174,312),10 
( 81, 98),( 110,157),10 
(41,641),( 97,663),10
(106,623),( 151,646),10
(399,485),( 449,512),10
(568,413),( 615,437),10
(953,242),( 1004,271),10
(95,286),( 120,333),10





