( 50, 69),( 129,136),1 
( 65,249),( 159,341),1 
(183,278),( 232,335),1 
(260,258),( 350,354),1 
(365,251),( 431,302),1 
(407,149),( 495,228),1 
(523, 70),( 611,174),1 
(634, 94),( 688,166),1 
(708,105),( 761,165),1 
(793, 93),( 866,192),1 
(886,103),( 938,171),1 
(960,106),(1013,182),1 
( 60,496),( 140,585),1 
(150,479),( 230,573),1 
(254,489),( 332,575),1 
(362,563),( 417,603),1 
(695,318),( 749,377),1 
(762,322),( 811,382),1 
(830,324),( 874,383),1 
(890,329),( 938,382),1 
(692,526),( 738,572),1 
(816,533),( 868,576),1 
