(601,433),(634,532),2 
(708,392),(748,433),3 
(757,398),(801,439),3 
(690,493),(723,528),3 
(726,496),(760,534),3 
(762,500),(797,537),3 
(809,506),(846,546),3 
(847,515),(883,551),3 
(910,521),(944,560),3 
(685,527),(719,566),3 
(723,535),(758,571),3 
(761,542),(795,576),3 
(808,548),(844,583),3 
(845,548),(880,588),3 
(905,563),(942,602),3 
(682,566),(717,603),3 
(717,573),(755,610),3 
(756,579),(791,613),3 
(807,582),(841,621),3 
(843,588),(877,629),3 
(912,611),(951,653),3 
(687,614),(734,668),3 
(739,620),(787,676),3 
(793,632),(842,683),3 
(844,638),(890,688),3 
(910,660),(948,703),3 
(683,667),(727,720),3 
(732,678),(781,728),3 
(790,686),(839,736),3 
(841,694),(890,745),3 
(906,717),(947,757),3 
