(350, 38),(389, 72),3 
(402, 38),(445, 76),3 
(502, 44),(531, 73),3 
(600, 47),(633, 78),3 
(659, 49),(694, 83),3 
(719, 67),(755,100),3 
(530, 78),(555,102),3 
(361, 92),(400,131),3 
(404,108),(445,138),3 
(501,108),(531,137),3 
(602,102),(632,130),3 
(659,102),(694,135),3 
(234,224),(270,261),3 
(291,203),(324,236),3 
(335,227),(371,261),3 
(420,226),(456,259),3 
(474,225),(508,257),3 
(532,225),(565,257),3 
(584,226),(618,257),3 
(646,228),(679,260),3 
(223,286),(255,317),3 
(279,284),(308,309),3 
(190,313),(224,342),3 
(280,316),(307,342),3 
(324,295),(371,338),3 
(422,269),(457,302),3 
(471,270),(505,305),3 
(560,271),(591,303),3 
(611,274),(642,305),3 
(700,245),(733,282),3 
(735,277),(770,311),3 
(661,296),(695,329),3 
(424,321),(456,353),3 
(472,320),(506,353),3 
(537,320),(570,346),3 
(590,320),(632,352),3 
(145,387),(172,413),3 
(185,386),(210,412),3 
(232,370),(257,396),3 
(279,365),(307,391),3 
(322,367),(347,389),3 
(352,367),(375,390),3 
(279,397),(306,424),3 
(323,397),(348,420),3 
(352,397),(376,421),3 
(140,458),(165,483),3 
(174,458),(200,486),3 
(210,458),(236,484),3 
(262,457),(300,493),3 
(310,454),(347,492),3 
(481,494),(570,512),2 
