( 59, 82),( 100,137),5 
( 97, 75),( 145,129),5 
(110,126),( 157,185),5 
(153,116),( 197,167),5 
(196,109),( 244,162),5 
(121,184),( 167,242),5 
(162,169),( 215,222),5 
(207,168),( 259,218),5 
(253,162),( 306,212),5 
(171,226),( 224,281),5 
(220,228),( 275,283),5 
(269,229),( 324,284),5 
(330,193),( 395,252),5 
(211,329),( 272,397),5 
(316,334),( 378,402),5 
(474,374),( 522,420),5 
(706,229),( 759,283),5 
(752,215),( 809,270),5 
(803,222),( 855,275),5 
(844,230),( 901,287),5 
(732,292),( 779,345),5 
(773,288),( 824,342),5 
(820,280),( 869,342),5 
(967,376),(1018,424),5 
