(908,469),( 962,507),10 
(400,592),( 433,640),10 
(450,502),( 481,550),10 
(559,301),( 616,340),10 
(658,271),( 688,327),10 
(437,167),( 473,219),10 
(280,133),( 326,172),10 
(698, 28),( 732, 67),10 
(721, 36),( 755, 74),10 
(761, 49),( 794, 96),10 
(811, 72),( 847,129),10 
(920,130),( 952,180),10 
(946,135),( 981,191),10 
(974,155),(1004,207),10 
(998,173),(1030,219),10 
(108,8),(155,57),10 
(139,210),(182,256),10 
(509,272),(549,308),10 
(709,505),(745,557),10 
(733,521),(773,578),10 
(852,435),(897,470),10 
(783,50),(825,109),10 
(475,446),(519,503),10 
