(337,227),(373,272),10 
(388,131),(424,181),10 
(261,561),(308,599),10 
(770,585),(820,625),10 
(825,611),(877,643),10 
(605, 65),(653, 93),10 
(595,117),(634,144),10 
(562,132),(606,162),10 
(551,154),(590,181),10 
(540,175),(583,207),10 
(519,196),(568,232),10 
(511,222),(552,255),10 
(498,248),(540,281),10 
(489,270),(529,303),10 
(531,283),(580,320),10 
(526,311),(568,343),10 
(466,313),(510,349),10 
(509,333),(555,370),10 
(289,306),(329,353),10 
(170,520),(202,563),10 
(861,516),(915,550),10 
